,Rank,Movie,Year,Crew,IMDB Ratings,User Reviews
207,208,The Big Lebowski,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.1,828179
208,209,Tokyo Story,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1,64221 
209,210,Ford v Ferrari,2019,"James Mangold (dir.), Matt Damon, Christian Bale",8.1,420693
210,211,The Passion of Joan of Arc,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.0,57393 
211,212,Hotel Rwanda,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.0,362211
212,213,Rocky,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.0,599457
213,214,Ratatouille,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.0,768527
214,215,Platoon,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.0,423763
215,216,Spotlight,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.0,482892
216,217,Logan,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.0,789136
217,218,The Terminator,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.0,886799
218,219,Jai Bhim,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.0,207080
219,220,Rush,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.0,491831
220,221,Stand by Me,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.0,418220
221,222,Before Sunset,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.0,274360
222,223,Network,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.0,163703
223,224,Into the Wild,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.0,635874
224,225,The Wizard of Oz,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.0,411007
225,226,The Best Years of Our Lives,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.0,67182 
226,227,The Exorcist,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.0,422036
227,228,La haine,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0,181837
228,229,The Incredibles,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.0,763288
229,230,To Be or Not to Be,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.0,39742 
230,231,Groundhog Day,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.0,651745
231,232,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.0,1155410
232,233,The Battle of Algiers,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.0,62517 
233,234,The Grapes of Wrath,1940,"John Ford (dir.), Henry Fonda, Jane Darwell",8.0,96272 
234,235,My Father and My Son,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.0,88428 
235,236,Hachi: A Dog's Tale,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.0,295470
236,237,Pather Panchali,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.0,35110 
237,238,The Handmaiden,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.0,157486
238,239,Amores Perros,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.0,245627
239,240,Rebecca,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.0,140963
240,241,Cool Hand Luke,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.0,181971
241,242,The Sound of Music,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.0,245048
242,243,It Happened One Night,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.0,107450
243,244,The 400 Blows,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.0,122317
244,245,Persona,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.0,123847
245,246,The Help,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.0,473107
246,247,Life of Brian,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",8.0,409382
247,248,The Iron Giant,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.0,209831
248,249,Aladdin,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.0,438117
249,250,Dances with Wolves,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.0,277006
